Year,Month,Day,Weekday,Hour,T1,T2,T3,T4,Load
2002,1,1,3,1,43,43,60,31,1384494
2002,1,1,3,2,42,42,58,29,1392822
2002,1,1,3,3,41,41,57,31,1407887
2002,1,1,3,4,41,41,56,30,1438658
2002,1,1,3,5,40,41,53,29,1484046
2002,1,1,3,6,39,39,52,29,1559169
2002,1,1,3,7,38,39,51,28,1665253
2002,1,1,3,8,38,39,51,28,1797826
2002,1,1,3,9,42,43,54,28,1871982
2002,1,1,3,10,46,45,58,27,1808095
2002,1,1,3,11,51,52,64,37,1664677
2002,1,1,3,12,55,56,65,41,1496108
2002,1,1,3,13,55,58,67,29,1336017
2002,1,1,3,14,57,58,70,34,1205316
2002,1,1,3,15,59,59,70,49,1119717
2002,1,1,3,16,59,58,71,50,1089214
2002,1,1,3,17,58,57,69,47,1134721
2002,1,1,3,18,54,54,67,43,1272858
2002,1,1,3,19,53,54,64,42,1439264
2002,1,1,3,20,52,53,62,41,1451540
2002,1,1,3,21,51,52,61,41,1421758
2002,1,1,3,22,50,52,60,41,1353192
2002,1,1,3,23,50,52,68,42,1243541
2002,1,1,3,24,50,51,59,41,1131533
2002,1,2,4,1,49,51,57,39,1059968
2002,1,2,4,2,48,50,56,39,1037745
2002,1,2,4,3,48,51,56,38,1040224
2002,1,2,4,4,49,51,57,38,1061350
2002,1,2,4,5,48,50,58,37,1111704
2002,1,2,4,6,49,51,59,37,1228713
2002,1,2,4,7,49,52,57,36,1372016
2002,1,2,4,8,51,52,63,36,1437581
2002,1,2,4,9,52,54,68,36,1453318
2002,1,2,4,10,54,56,72,35,1464511
2002,1,2,4,11,56,58,72,39,1461564
2002,1,2,4,12,56,61,70,39,1446414
2002,1,2,4,13,56,59,68,39,1430400
2002,1,2,4,14,55,59,69,38,1400935
2002,1,2,4,15,55,59,69,38,1348645
2002,1,2,4,16,55,59,70,38,1306100
2002,1,2,4,17,54,60,70,37,1334734
2002,1,2,4,18,53,59,68,37,1480547
2002,1,2,4,19,52,59,64,36,1627644
2002,1,2,4,20,51,57,63,35,1618167
2002,1,2,4,21,49,56,63,34,1574430
2002,1,2,4,22,48,53,61,34,1509438
2002,1,2,4,23,47,51,63,34,1418878
2002,1,2,4,24,47,50,64,34,1314143
2002,1,3,5,1,46,48,64,34,1243783
2002,1,3,5,2,45,47,64,34,1232629
2002,1,3,5,3,45,45,64,34,1253069
2002,1,3,5,4,44,45,64,34,1291699
2002,1,3,5,5,43,44,64,34,1361961
2002,1,3,5,6,43,43,64,29,1509614
2002,1,3,5,7,43,42,64,34,1699977
2002,1,3,5,8,43,42,64,34,1808900
2002,1,3,5,9,43,42,64,34,1836818
2002,1,3,5,10,43,44,64,33,1860145
2002,1,3,5,11,45,43,70,36,1854124
2002,1,3,5,12,46,44,72,37,1811057
2002,1,3,5,13,46,44,74,37,1777247
2002,1,3,5,14,47,46,76,37,1760297
2002,1,3,5,15,46,45,77,38,1754701
2002,1,3,5,16,47,45,78,39,1780181
2002,1,3,5,17,46,44,78,38,1872009
2002,1,3,5,18,44,43,77,37,2007456
2002,1,3,5,19,43,40,75,36,2196752
2002,1,3,5,20,42,40,75,34,2231312
2002,1,3,5,21,41,38,71,34,2260145
2002,1,3,5,22,40,38,66,33,2202390
2002,1,3,5,23,38,38,62,30,2106229
2002,1,3,5,24,38,37,58,29,2002308
2002,1,4,6,1,35,35,46,27,1948510
2002,1,4,6,2,34,34,45,26,1969377
2002,1,4,6,3,33,32,45,27,2012981
2002,1,4,6,4,32,32,42,25,2079779
2002,1,4,6,5,31,31,39,24,2175967
2002,1,4,6,6,30,31,38,23,2324188
2002,1,4,6,7,29,30,37,23,2449261
2002,1,4,6,8,29,30,37,22,2545548
