"date","wp1","wp2","wp3","wp4","wp5","wp6","wp7","usage"
2009070100,0.045,0.233,0.494,0.105,0.056,0.118,0.051,"Training"
2009070101,0.085,0.249,0.257,0.105,0.066,0.066,0.051,"Training"
2009070102,0.02,0.175,0.178,0.033,0.015,0.026,0,"Training"
2009070103,0.06,0.085,0.109,0.022,0.01,0.013,0,"Training"
2009070104,0.045,0.032,0.079,0.039,0.01,0,0,"Training"
2009070105,0.035,0.011,0.099,0.066,0.015,0.013,0,"Training"
2009070106,0.005,0,0.069,0.105,0.015,0.079,0,"Training"
2009070107,0,0.011,0,0.017,0.025,0.013,0.025,"Training"
2009070108,0,0.016,0,0.017,0.046,0,0,"Training"
2009070109,0.01,0,0,0.006,0.081,0,0,"Training"
2009070110,0.025,0.005,0,0,0.101,0,0,"Training"
2009070111,0.03,0.021,0,0,0.111,0,0,"Training"
2009070112,0.01,0.021,0,0,0.121,0,0,"Training"
2009070113,0,0.026,0,0,0.111,0,0,"Training"
2009070114,0.01,0.021,0,0,0.137,0,0,"Training"
2009070115,0,0.016,0,0,0.106,0,0,"Training"
2009070116,0,0.021,0,0,0.086,0,0,"Training"
2009070117,0,0.016,0,0,0.056,0,0,"Training"
2009070118,0.005,0.032,0,0,0.03,0,0,"Training"
2009070119,0,0.037,0,0.017,0.02,0.013,0,"Training"
2009070120,0,0.048,0,0.05,0,0.013,0,"Training"
2009070121,0,0.058,0,0.033,0.005,0.026,0,"Training"
2009070122,0.005,0.09,0,0.044,0.005,0.013,0,"Training"
2009070123,0.015,0.127,0,0,0.01,0.013,0,"Training"
2009070200,0,0.164,0,0,0,0,0,"Training"
2009070201,0,0.138,0.01,0,0,0,0,"Training"
2009070202,0.01,0.116,0.02,0,0,0,0,"Training"
2009070203,0.01,0.079,0.02,0,0,0,0,"Training"
2009070204,0,0.074,0,0,0,0,0,"Training"
2009070205,0,0.063,0,0,0.02,0,0,"Training"
2009070206,0,0.074,0,0,0.015,0,0,"Training"
2009070207,0,0.058,0,0,0.005,0,0,"Training"
2009070208,0,0.053,0,0,0,0,0,"Training"
2009070209,0.015,0.058,0.02,0,0,0,0,"Training"
